,id,title,abstract,categories,title_abstract
332,0704.0333,"Optical properties of the Holstein-t-J model from dynamical mean-field
  theory","  We employ dynamical mean-field theory to study the optical conductivity
$\sigma(\omega)$ of one hole in the Holstein-t-J model. We provide an exact
solution for $\sigma(\omega)$ in the limit of infinite connectivity. We apply
our analysis to Nd$_{2-x}$Ce$_x$CuO$_4$. We show that our model can explain
many features of the optical conductivity in this compounds in terms of
magnetic/lattice polaron formation.
",cond-mat.str-el,"Optical properties of the Holstein-t-J model from dynamical mean-field
  theory   We employ dynamical mean-field theory to study the optical conductivity
$\sigma(\omega)$ of one hole in the Holstein-t-J model. We provide an exact
solution for $\sigma(\omega)$ in the limit of infinite connectivity. We apply
our analysis to Nd$_{2-x}$Ce$_x$CuO$_4$. We show that our model can explain
many features of the optical conductivity in this compounds in terms of
magnetic/lattice polaron formation.
"
2786,0704.2787,Microscopic mechanism for cold denaturation,"  We elucidate the mechanism of cold denaturation through constant-pressure
simulations for a model of hydrophobic molecules in an explicit solvent. We
find that the temperature dependence of the hydrophobic effect is the driving
force/induces/facilitates cold denaturation. The physical mechanism underlying
this phenomenon is identified as the destabilization of hydrophobic contact in
favor of solvent separated configurations, the same mechanism seen in pressure
induced denaturation. A phenomenological explanation proposed for the mechanism
is suggested as being responsible for cold denaturation in real proteins.
",cond-mat.soft,"Microscopic mechanism for cold denaturation   We elucidate the mechanism of cold denaturation through constant-pressure
simulations for a model of hydrophobic molecules in an explicit solvent. We
find that the temperature dependence of the hydrophobic effect is the driving
force/induces/facilitates cold denaturation. The physical mechanism underlying
this phenomenon is identified as the destabilization of hydrophobic contact in
favor of solvent separated configurations, the same mechanism seen in pressure
induced denaturation. A phenomenological explanation proposed for the mechanism
is suggested as being responsible for cold denaturation in real proteins.
"
695,0704.0696,"Phonon instability and structural phase transition in Vanadium under
  high pressure","  Results of the first-principles calculations are presented for the group-VB
metals V, Nb and Ta up to couple of megabar pressure. An unique structural
phase transition sequence BCC-->(at 60 GPa) rhombohedral (angle=110.5
degree)-->(at ~ 160 GPa)rhombohedral(angle=108.5 degree)--> (at ~ 430 GPa) BCC
is predicted in V. We also find that BCC-V becomes mechanically and
vibrationally unstable at around 112 GPa pressure. Similar transitions are
absent in Nb and Ta.
",cond-mat.mtrl-sci,"Phonon instability and structural phase transition in Vanadium under
  high pressure   Results of the first-principles calculations are presented for the group-VB
metals V, Nb and Ta up to couple of megabar pressure. An unique structural
phase transition sequence BCC-->(at 60 GPa) rhombohedral (angle=110.5
degree)-->(at ~ 160 GPa)rhombohedral(angle=108.5 degree)--> (at ~ 430 GPa) BCC
is predicted in V. We also find that BCC-V becomes mechanically and
vibrationally unstable at around 112 GPa pressure. Similar transitions are
absent in Nb and Ta.
"
2579,0704.2580,"Period-two cycles in a feed-forward layered neural network model with
  symmetric sequence processing","  The effects of dominant sequential interactions are investigated in an
exactly solvable feed-forward layered neural network model of binary units and
patterns near saturation in which the interaction consists of a Hebbian part
and a symmetric sequential term. Phase diagrams of stationary states are
obtained and a new phase of cyclic correlated states of period two is found for
a weak Hebbian term, independently of the number of condensed patterns $c$.
",cond-mat.dis-nn,"Period-two cycles in a feed-forward layered neural network model with
  symmetric sequence processing   The effects of dominant sequential interactions are investigated in an
exactly solvable feed-forward layered neural network model of binary units and
patterns near saturation in which the interaction consists of a Hebbian part
and a symmetric sequential term. Phase diagrams of stationary states are
obtained and a new phase of cyclic correlated states of period two is found for
a weak Hebbian term, independently of the number of condensed patterns $c$.
"
2129,0704.2130,"Vortices in Quantum R\""ontgen Effect","  By the application of $\phi$-mapping topological theory, the properties of
vortices in quantum R\""ontgen effect is thoroughly studied. The explicit
expression of the vorticity is obtained, wherein which the $\delta$ function
indicates that the vortices can only stem from the zero points of $\phi$ and
the magnetic flux of the consequent monopoles is quantized in terms of the Hopf
indices and Brouwer degrees. The evolution of vortex lines is discussed. The
reduced dynamic equation and a conserved dynamic quantity on stable vortex
lines are obtained.
",cond-mat.other,"Vortices in Quantum R\""ontgen Effect   By the application of $\phi$-mapping topological theory, the properties of
vortices in quantum R\""ontgen effect is thoroughly studied. The explicit
expression of the vorticity is obtained, wherein which the $\delta$ function
indicates that the vortices can only stem from the zero points of $\phi$ and
the magnetic flux of the consequent monopoles is quantized in terms of the Hopf
indices and Brouwer degrees. The evolution of vortex lines is discussed. The
reduced dynamic equation and a conserved dynamic quantity on stable vortex
lines are obtained.
"
761,0704.0762,"Dependence of the Critical Adsorption Point on Surface and Sequence
  Disorders for Self-Avoiding Walks Interacting with a Planar Surface","  The critical adsorption point (CAP) of self-avoiding walks (SAW) interacting
with a planar surface with surface disorder or sequence disorder has been
studied. We present theoretical equations, based on ones previously developed
by Soteros and Whittington (J. Phys. A.: Math. Gen. 2004, 37, R279-R325), that
describe the dependence of CAP on the disorders along with Monte Carlo
simulation data that are in agreement with the equations. We also show
simulation results that deviate from the equations when the approximations used
in the theory break down. Such knowledge is the first step toward understanding
the correlation of surface disorder and sequence disorder during polymer
adsorption.
",cond-mat.stat-mech,"Dependence of the Critical Adsorption Point on Surface and Sequence
  Disorders for Self-Avoiding Walks Interacting with a Planar Surface   The critical adsorption point (CAP) of self-avoiding walks (SAW) interacting
with a planar surface with surface disorder or sequence disorder has been
studied. We present theoretical equations, based on ones previously developed
by Soteros and Whittington (J. Phys. A.: Math. Gen. 2004, 37, R279-R325), that
describe the dependence of CAP on the disorders along with Monte Carlo
simulation data that are in agreement with the equations. We also show
simulation results that deviate from the equations when the approximations used
in the theory break down. Such knowledge is the first step toward understanding
the correlation of surface disorder and sequence disorder during polymer
adsorption.
"
3054,0704.3055,"Disclinations, dislocations and continuous defects: a reappraisal","  Disclinations, first observed in mesomorphic phases, are relevant to a number
of ill-ordered condensed matter media, with continuous symmetries or frustrated
order. They also appear in polycrystals at the edges of grain boundaries. They
are of limited interest in solid single crystals, where, owing to their large
elastic stresses, they mostly appear in close pairs of opposite signs. The
relaxation mechanisms associated with a disclination in its creation, motion,
change of shape, involve an interplay with continuous or quantized dislocations
and/or continuous disclinations. These are attached to the disclinations or are
akin to Nye's dislocation densities, well suited here. The notion of 'extended
Volterra process' takes these relaxation processes into account and covers
different situations where this interplay takes place. These concepts are
illustrated by applications in amorphous solids, mesomorphic phases and
frustrated media in their curved habit space. The powerful topological theory
of line defects only considers defects stable against relaxation processes
compatible with the structure considered. It can be seen as a simplified case
of the approach considered here, well suited for media of high plasticity
or/and complex structures. Topological stability cannot guarantee energetic
stability and sometimes cannot distinguish finer details of structure of
defects.
",cond-mat.soft,"Disclinations, dislocations and continuous defects: a reappraisal   Disclinations, first observed in mesomorphic phases, are relevant to a number
of ill-ordered condensed matter media, with continuous symmetries or frustrated
order. They also appear in polycrystals at the edges of grain boundaries. They
are of limited interest in solid single crystals, where, owing to their large
elastic stresses, they mostly appear in close pairs of opposite signs. The
relaxation mechanisms associated with a disclination in its creation, motion,
change of shape, involve an interplay with continuous or quantized dislocations
and/or continuous disclinations. These are attached to the disclinations or are
akin to Nye's dislocation densities, well suited here. The notion of 'extended
Volterra process' takes these relaxation processes into account and covers
different situations where this interplay takes place. These concepts are
illustrated by applications in amorphous solids, mesomorphic phases and
frustrated media in their curved habit space. The powerful topological theory
of line defects only considers defects stable against relaxation processes
compatible with the structure considered. It can be seen as a simplified case
of the approach considered here, well suited for media of high plasticity
or/and complex structures. Topological stability cannot guarantee energetic
stability and sometimes cannot distinguish finer details of structure of
defects.
"
2053,0704.2054,"Vortex Formation by Merging and Interference of Multiple Trapped
  Bose-Einstein Condensates","  An apparatus for producing atomic-gas Bose-Einstein condensates (BECs) of
87-Rb atoms is described. The apparatus produces 87-Rb BECs in a dual-chamber
vacuum system that incorporates magnetic transport of trapped atoms from the
magneto-optical trapping cell to the BEC production cell via the operation of a
series of overlapping magnet coils. The design, construction, and operation of
the apparatus are described in detail. The apparatus is used to study the
creation of quantized vortices in BECs by the merging and interference of
multiple trapped condensates. In this experiment, a single harmonic potential
well is partitioned into three sections by an optical barrier, enabling the
simultaneous formation of three independent, uncorrelated BECs. The BECs may
either merge together during their growth, or, for high-energy barriers, the
BECs can be merged together by barrier removal after their formation. Either
process may instigate vortex formation in the resulting BEC, depending on the
initially indeterminate relative phases of the condensates and the merging
rate.
",cond-mat.other,"Vortex Formation by Merging and Interference of Multiple Trapped
  Bose-Einstein Condensates   An apparatus for producing atomic-gas Bose-Einstein condensates (BECs) of
87-Rb atoms is described. The apparatus produces 87-Rb BECs in a dual-chamber
vacuum system that incorporates magnetic transport of trapped atoms from the
magneto-optical trapping cell to the BEC production cell via the operation of a
series of overlapping magnet coils. The design, construction, and operation of
the apparatus are described in detail. The apparatus is used to study the
creation of quantized vortices in BECs by the merging and interference of
multiple trapped condensates. In this experiment, a single harmonic potential
well is partitioned into three sections by an optical barrier, enabling the
simultaneous formation of three independent, uncorrelated BECs. The BECs may
either merge together during their growth, or, for high-energy barriers, the
BECs can be merged together by barrier removal after their formation. Either
process may instigate vortex formation in the resulting BEC, depending on the
initially indeterminate relative phases of the condensates and the merging
rate.
"
692,0704.0693,Geometry Effects at Atomic-Size Aluminium Contacts,"  We present electronic structure calculations for aluminium nanocontacts.
Addressing the neck of the contact, we compare characteristic geometries to
investigate the effects of the local aluminium coordination on the electronic
states. We find that the Al 3pz states are very sensitive against modifications
of the orbital overlap, which has serious consequences for the transport
properties. Stretching of the contact shifts states towards the Fermi energy,
leaving the system instable against ferromagnetic ordering. By spacial
restriction, hybridization is locally suppressed at nanocontacts and the charge
neutrality is violated. We discuss the influence of mechanical stress by means
of quantitative results for the charge transfer.
",cond-mat.mes-hall,"Geometry Effects at Atomic-Size Aluminium Contacts   We present electronic structure calculations for aluminium nanocontacts.
Addressing the neck of the contact, we compare characteristic geometries to
investigate the effects of the local aluminium coordination on the electronic
states. We find that the Al 3pz states are very sensitive against modifications
of the orbital overlap, which has serious consequences for the transport
properties. Stretching of the contact shifts states towards the Fermi energy,
leaving the system instable against ferromagnetic ordering. By spacial
restriction, hybridization is locally suppressed at nanocontacts and the charge
neutrality is violated. We discuss the influence of mechanical stress by means
of quantitative results for the charge transfer.
"
2137,0704.2138,Semi-classical buckling of stiff polymers,"  A quantitative theory of the buckling of a worm like chain based on a
semi-classical approximation of the partition function is presented. The
contribution of thermal fluctuations to the force-extension relation that
allows to go beyond the classical Euler buckling is derived in the linear and
non-linear regime as well. It is shown that the thermal fluctuations in the
nonlinear buckling regime increase the end-to-end distance of the semiflexible
rod if it is confined to 2 dimensions as opposed to the 3 dimensional case. Our
approach allows a complete physical understanding of buckling in D=2 and in D=3
below and above the Euler transition.
",cond-mat.soft,"Semi-classical buckling of stiff polymers   A quantitative theory of the buckling of a worm like chain based on a
semi-classical approximation of the partition function is presented. The
contribution of thermal fluctuations to the force-extension relation that
allows to go beyond the classical Euler buckling is derived in the linear and
non-linear regime as well. It is shown that the thermal fluctuations in the
nonlinear buckling regime increase the end-to-end distance of the semiflexible
rod if it is confined to 2 dimensions as opposed to the 3 dimensional case. Our
approach allows a complete physical understanding of buckling in D=2 and in D=3
below and above the Euler transition.
"
